9520;2000925;15565;RLS Basic
19894;2001932;32553;RLS Basic
27247;2001927;43801;RLS Basic
30791;2000936;49730;RLS Basic
47500;2000973;80528;RLS Basic
47493;2000973;80528;RLS Basic
20258;2000866;33001;RLS Basic
31346;2001918;50782;RLS Basic
10283;2001182;16890;RLS Basic
8503;2001919;13968;RLS Basic
47492;2000973;80528;RLS Basic
52691;2001912;89874;Full Res (Amelia NSW)
44994;2001910;75822;RLS Basic
16572;2001917;26914;RLS Basic
23170;2001913;37875;RLS Basic
31484;2001922;51015;RLS Basic
56811;2001351;98525;RLS Basic
22606;2000961;37068;RLS Basic
44766;2001047;75443;RLS Basic
60341;2001352;105730;RLS Basic
14671;2001300;24209;RLS Basic
31353;2001918;50782;Full Res (Amelia NSW)
31345;2001918;50782;Full Res (Amelia NSW)
47490;2000973;80528;RLS Basic
48943;2000996;83208;RLS Basic
52404;2001048;89531;RLS Basic
10801;2001909;17830;RLS Basic
44779;2001047;75443;Full Res (Amelia NSW)
20101;2001916;32739;Full Res (Amelia NSW)
12107;2001911;20138;Full Res (Amelia NSW)
22599;2000961;37068;RLS Basic
2495;2001286;4162;RLS Basic
29373;2001183;47389;RLS Basic
27248;2001927;43801;Full Res (Amelia NSW)
20093;2001916;32739;RLS Basic
2506;2001286;4162;RLS Basic
2497;2001286;4162;RLS Basic
27243;2001927;43801;Full Res (Amelia NSW)
20088;2001916;32739;RLS Basic
25807;2001222;41902;RLS Basic
54522;2001245;93825;RLS Basic
44997;2001910;75822;RLS Basic
14680;2001300;24209;RLS Basic
33965;2001263;55495;RLS Basic
47498;2000973;80528;RLS Basic
62318;2000959;109705;RLS Basic
8145;2001920;13496;RLS Basic
20092;2001916;32739;Full Res (Amelia NSW)
52403;2001048;89531;RLS Basic
14676;2001300;24209;RLS Basic
42899;2001299;72120;RLS Basic
54514;2001245;93825;RLS Basic
23224;2000906;37923;RLS Basic
19900;2001932;32553;RLS Basic
31342;2001918;50782;RLS Basic
14670;2001300;24209;RLS Basic
42890;2001299;72120;RLS Basic
44996;2001910;75822;RLS Basic
14675;2001300;24209;RLS Basic
10287;2001182;16890;RLS Basic
2349;2001262;3935;RLS Basic
60340;2001352;105730;RLS Basic
20087;2001916;32739;Full Res (Amelia NSW)
13044;2001915;21638;Full Res (Amelia NSW)
56807;2001351;98525;RLS Basic
23177;2001913;37875;RLS Basic
62314;2000959;109705;RLS Basic
40575;2001353;67940;RLS Basic
48935;2000996;83208;RLS Basic
48929;2000996;83208;RLS Basic
27241;2001927;43801;RLS Basic
42109;2001921;70908;RLS Basic
52692;2001912;89874;Full Res (Amelia NSW)
42895;2001299;72120;RLS Basic
25805;2001222;41902;RLS Basic
33325;2001046;54254;RLS Basic
52411;2001048;89531;RLS Basic
20091;2001916;32739;RLS Basic
13055;2001285;21644;RLS Basic
16575;2001917;26914;RLS Basic
